Land,2020-02-24 00:00:00,2020-02-25 00:00:00,2020-02-26 00:00:00,2020-02-27 00:00:00,2020-02-28 00:00:00,2020-02-29 00:00:00,2020-03-01 00:00:00,2020-03-02 00:00:00,2020-03-03 00:00:00,2020-03-04 00:00:00,2020-03-05 00:00:00,2020-03-06 00:00:00,2020-03-07 00:00:00,2020-03-08 00:00:00,2020-03-09 00:00:00,2020-03-10 00:00:00,2020-03-11 00:00:00,2020-03-12 00:00:00,2020-03-13 00:00:00,2020-03-14 00:00:00,2020-03-15 00:00:00,2020-03-16 00:00:00,2020-03-17 00:00:00,2020-03-18 00:00:00,2020-03-19 00:00:00,2020-03-20 00:00:00,2020-03-21 00:00:00,Flaeche_km2,Einwohner_Mio,Einwohner_per_km2,Auslaender_proc,iso_3166_2
Baden-Württemberg,0.0,1.0,3.0,6.0,10.0,14.0,15.0,19.0,26.0,44.0,73.0,96.0,170.0,182.0,204.0,237.0,277.0,454.0,454.0,569.0,827.0,1105.0,1609.0,2155.0,2746.0,3668.0,3807.0,35751.0,10.88,304.0,14.200000000000001,DE-BW
Bayern,14.0,14.0,14.0,14.0,15.0,15.0,19.0,25.0,35.0,48.0,70.0,117.0,134.0,172.0,256.0,314.0,366.0,500.0,558.0,681.0,886.0,1067.0,1243.0,1692.0,2401.0,2960.0,3650.0,70550.0,12.844,182.0,12.3,DE-BY
Berlin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,6.0,13.0,19.0,28.0,40.0,48.0,48.0,90.0,137.0,174.0,216.0,265.0,300.0,391.0,573.0,731.0,866.0,1024.0,892.0,3.52,3948.0,16.3,DE-BE
Brandenburg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,4.0,6.0,9.0,24.0,30.0,44.0,61.0,84.0,94.0,92.0,134.0,192.0,254.0,274.0,29654.0,2.485,84.0,3.6,DE-BB
Bremen,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,21.0,38.0,42.0,50.0,53.0,56.0,69.0,80.0,121.0,142.0,165.0,420.0,0.671,1599.0,15.9,DE-HB
Hamburg,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,5.0,11.0,13.0,13.0,17.0,29.0,48.0,88.0,99.0,158.0,162.0,260.0,358.0,432.0,586.0,587.0,872.0,755.0,1.787,2366.0,15.4,DE-HH
Hessen,2.0,2.0,2.0,2.0,2.0,5.0,10.0,12.0,12.0,12.0,14.0,16.0,17.0,19.0,26.0,35.0,48.0,99.0,148.0,203.0,286.0,342.0,432.0,682.0,813.0,1080.0,1175.0,21115.0,6.176,293.0,15.100000000000001,DE-HE
Mecklenburg-Vorpommern,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,5.0,5.0,8.0,10.0,13.0,17.0,23.0,33.0,45.0,50.0,51.0,56.0,98.0,131.0,165.0,172.0,23212.0,1.612,69.0,4.0,DE-MV
Niedersachsen,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0,18.0,18.0,19.0,21.0,38.0,49.0,75.0,129.0,230.0,253.0,287.0,391.0,478.0,669.0,803.0,1022.9999999999999,1306.0,47593.0,7.927,167.0,8.4,DE-NI
Nordrhein-Westfalen,0.0,1.0,2.0,4.0,25.0,30.0,66.0,86.0,101.0,111.0,181.0,329.0,373.0,398.0,484.0,484.0,484.0,688.0,936.0,1154.0,1407.0,1541.0,2372.0,3033.0,3497.0,3542.0,3545.0,34113.0,17.866,524.0,12.700000000000001,DE-NW
Rheinland-Pfalz,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,8.0,10.0,13.0,19.0,17.0,25.0,25.0,52.0,102.0,121.0,168.0,325.0,474.0,637.0,801.0,938.0,1053.0,19854.0,4.053,204.0,9.700000000000001,DE-RP
Saarland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,4.0,6.0,7.0,14.0,14.0,40.0,40.0,32.0,85.0,88.0,99.0,146.0,187.0,187.0,2566.9999999999995,0.996,388.0,10.5,DE-SL
Sachsen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,4.0,7.0,12.0,22.0,26.0,45.0,83.0,93.0,130.0,140.0,198.0,275.0,394.0,567.0,606.0,18449.0,4.085,221.0,4.0,DE-SN
Sachsen-Anhalt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,15.0,27.0,42.0,45.0,47.0,77.0,105.0,140.0,180.0,188.0,211.0,20452.0,2.245,110.0,3.7,DE-ST
Schleswig-Holstein,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,7.0,7.0,8.0,9.0,9.0,9.0,27.0,31.0,48.0,60.0,103.0,123.0,159.0,202.0,266.0,308.0,347.0,15802.0,2.859,181.0,6.9,DE-SH
Thüringen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,4.0,10.0,14.0,29.0,46.0,51.0,55.0,74.0,98.0,149.0,187.0,216.0,16202.000000000002,2.171,134.0,3.5,DE-TH
